28627.jpg;2298;1;0.5949593
28627.jpg;6564;2;0.25943762
28627.jpg;6547;3;0.12219311
28627.jpg;4034;4;0.023409972
51933.jpg;6437;1;0.5583066
51933.jpg;3369;2;0.3701438
51933.jpg;30737;3;0.07154962
5539.jpg;4761;1;0.36196327
5539.jpg;30381;2;0.3606325
5539.jpg;1321;3;0.18112059
5539.jpg;29953;4;0.09628364
27822.jpg;5377;1;0.5830157
27822.jpg;3798;2;0.3965043
27822.jpg;2430;3;0.020479975
41849.jpg;30282;1;0.32515207
41849.jpg;30311;2;0.2756436
41849.jpg;2653;3;0.24832548
41849.jpg;8653;4;0.06406863
41849.jpg;7285;5;0.05429285
41849.jpg;4763;6;0.032517377
54560.jpg;4109;1;1.0
20138.jpg;14887;1;0.47920483
20138.jpg;4109;2;0.41509303
20138.jpg;3849;3;0.041053087
20138.jpg;4516;4;0.037284143
20138.jpg;6478;5;0.027364923
3925.jpg;5810;1;0.29309303
3925.jpg;14872;2;0.24833524
3925.jpg;3942;3;0.18716568
3925.jpg;13623;4;0.14894009
3925.jpg;6558;5;0.122465976
25625.jpg;967;1;0.2511297
25625.jpg;2584;2;0.24160251
25625.jpg;2394;3;0.1275173
25625.jpg;1212;4;0.12618074
25625.jpg;5132;5;0.11050802
25625.jpg;3860;6;0.09083739
25625.jpg;30144;7;0.036273014
25625.jpg;1162;8;0.015951343
